id,label
1,0.964339
10,0.339457
100,0.192577
1000,0.905299
10000,0.983362
10001,0.003303
10002,0.120716
10003,0.981196
10004,0.835538
10005,0.000450
10006,0.184765
10007,0.758944
10008,0.000534
10009,0.014390
1001,0.093971
10010,0.994665
10011,0.994364
10012,0.082202
10013,0.431475
10014,0.010332
10015,0.858388
10016,0.092792
10017,0.135218
10018,0.002566
10019,0.008794
1002,0.989741
10020,0.047118
10021,0.000316
10022,0.915454
10023,0.982381
10024,0.713802
10025,0.853004
10026,0.960184
10027,0.985976
10028,0.104917
10029,0.997782
1003,0.994933
10030,0.983348
10031,0.019135
10032,0.060034
10033,0.193310
10034,0.927932
10035,0.988397
10036,0.988912
10037,0.480566
10038,0.966934
10039,0.975006
1004,0.934606
10040,0.000763
10041,0.990347
10042,0.529587
10043,0.999150
10044,0.009321
10045,0.650069
10046,0.536380
10047,0.972764
10048,0.983612
10049,0.003509
1005,0.011191
10050,0.002756
10051,0.510442
10052,0.003865
10053,0.960962
10054,0.676163
10055,0.010972
10056,0.905076
10057,0.171375
10058,0.743299
10059,0.967396
1006,0.999812
10060,0.947241
10061,0.851100
10062,0.002082
10063,0.926947
10064,0.922445
10065,0.121565
10066,0.188877
10067,0.022209
10068,0.002543
10069,0.008281
1007,0.990625
10070,0.999656
10071,0.001653
10072,0.027102
10073,0.954220
10074,0.011735
10075,0.009647
10076,0.010052
10077,0.249320
10078,0.962664
10079,0.000998
1008,0.021200
10080,0.942454
10081,0.974477
10082,0.000416
10083,0.000543
10084,0.997051
10085,0.988494
10086,0.996231
10087,0.813524
10088,0.005048
10089,0.310485
1009,0.991030
10090,0.973361
10091,0.000485
10092,0.640091
10093,0.346255
10094,0.994671
10095,0.004109
10096,0.992091
10097,0.998903
10098,0.999161
10099,0.000825
101,0.029849
1010,0.948521
10100,0.920475
10101,0.986665
10102,0.064931
10103,0.000551
10104,0.974398
10105,0.828215
10106,0.022633
10107,0.134834
10108,0.889228
10109,0.002087
1011,0.025513
10110,0.995322
10111,0.437581
10112,0.004163
10113,0.997906
10114,0.340253
10115,0.001074
10116,0.993826
10117,0.023299
10118,0.396105
10119,0.971516
1012,0.933521
10120,0.004988
10121,0.572445
10122,0.031708
10123,0.001742
10124,0.988614
10125,0.152064
10126,0.154091
10127,0.958701
10128,0.083229
10129,0.903142
1013,0.001547
10130,0.046170
10131,0.986645
10132,0.183811
10133,0.081177
10134,0.470589
10135,0.996228
10136,0.992617
10137,0.945429
10138,0.962584
10139,0.963298
1014,0.987562
10140,0.965120
10141,0.981406
10142,0.998740
10143,0.568955
10144,0.972560
10145,0.011293
10146,0.843459
10147,0.985348
10148,0.750240
10149,0.002403
1015,0.001972
10150,0.598432
10151,0.009917
10152,0.000509
10153,0.913152
10154,0.008110
10155,0.655063
10156,0.012264
10157,0.947251
10158,0.011913
10159,0.987540
1016,0.453266
10160,0.010783
10161,0.022963
10162,0.997097
10163,0.997148
10164,0.974156
10165,0.977683
10166,0.999269
10167,0.973549
10168,0.721400
10169,0.979005
1017,0.176654
10170,0.006062
10171,0.004285
10172,0.887077
10173,0.000426
10174,0.379651
10175,0.002043
10176,0.978137
10177,0.591677
10178,0.167900
10179,0.996756
1018,0.396147
10180,0.006440
10181,0.931012
10182,0.189876
10183,0.174948
10184,0.000725
10185,0.994892
10186,0.989563
10187,0.990326
10188,0.205537
10189,0.997960
1019,0.996761
10190,0.905485
10191,0.002932
10192,0.109587
10193,0.011665
10194,0.000149
10195,0.992878
10196,0.943586
10197,0.685002
10198,0.072027
10199,0.000242
102,0.920227
1020,0.005743
10200,0.000549
10201,0.006809
10202,0.943176
10203,0.998628
10204,0.091549
10205,0.001202
10206,0.086438
10207,0.996262
10208,0.983685
10209,0.952141
1021,0.218605
10210,0.096129
10211,0.004341
10212,0.002057
10213,0.935869
10214,0.748181
10215,0.000689
10216,0.846997
10217,0.913508
10218,0.001734
10219,0.076283
1022,0.001335
10220,0.991572
10221,0.999770
10222,0.939229
10223,0.000996
10224,0.276578
10225,0.283143
10226,0.065473
10227,0.000239
10228,0.016920
10229,0.036274
1023,0.086583
10230,0.183259
10231,0.998598
10232,0.999386
10233,0.864224
10234,0.001024
10235,0.014482
10236,0.001013
10237,0.003076
10238,0.855757
10239,0.016476
1024,0.031568
10240,0.002371
10241,0.531288
10242,0.992829
10243,0.955259
10244,0.997985
10245,0.805447
10246,0.785681
10247,0.942766
10248,0.051393
10249,0.496902
1025,0.000722
10250,0.027762
10251,0.998439
10252,0.074899
10253,0.958126
10254,0.996274
10255,0.981667
10256,0.992095
10257,0.007692
10258,0.939774
10259,0.981161
1026,0.532891
10260,0.982731
10261,0.999327
10262,0.847152
10263,0.990936
10264,0.000317
10265,0.059228
10266,0.000201
10267,0.003143
10268,0.999095
10269,0.985685
1027,0.001138
10270,0.007213
10271,0.905965
10272,0.012054
10273,0.027497
10274,0.004262
10275,0.845415
10276,0.624620
10277,0.075668
10278,0.872779
10279,0.979712
1028,0.061403
10280,0.958534
10281,0.936438
10282,0.642757
10283,0.528600
10284,0.901103
10285,0.990749
10286,0.000172
10287,0.136137
10288,0.028875
10289,0.024655
1029,0.000741
10290,0.999010
10291,0.546545
10292,0.000210
10293,0.998280
10294,0.001277
10295,0.022750
10296,0.006898
10297,0.570185
10298,0.999029
10299,0.994216
103,0.003278
1030,0.026718
10300,0.799263
10301,0.008439
10302,0.871363
10303,0.534109
10304,0.984084
10305,0.995083
10306,0.894783
10307,0.985908
10308,0.302052
10309,0.343302
1031,0.021958
10310,0.968483
10311,0.025675
10312,0.025349
10313,0.978710
10314,0.000474
10315,0.894429
10316,0.998809
10317,0.960037
10318,0.002188
10319,0.902620
1032,0.992602
10320,0.992109
10321,0.999547
10322,0.992116
10323,0.975486
10324,0.296194
10325,0.016890
10326,0.910175
10327,0.949061
10328,0.000144
10329,0.989533
1033,0.819615
10330,0.008325
10331,0.001021
10332,0.987322
10333,0.004563
10334,0.016195
10335,0.837119
10336,0.033336
10337,0.049806
10338,0.093242
10339,0.978143
1034,0.736957
10340,0.078683
10341,0.001340
10342,0.965318
10343,0.000764
10344,0.995927
10345,0.800453
10346,0.000848
10347,0.130668
10348,0.988101
10349,0.836585
1035,0.001300
10350,0.947160
10351,0.001419
10352,0.996859
10353,0.100159
10354,0.296617
10355,0.968455
10356,0.001370
10357,0.997625
10358,0.040455
10359,0.996607
1036,0.880187
10360,0.002245
10361,0.037719
10362,0.015666
10363,0.001197
10364,0.987192
10365,0.060578
10366,0.984423
10367,0.975308
10368,0.991267
10369,0.002602
1037,0.865683
10370,0.935553
10371,0.248721
10372,0.616621
10373,0.004936
10374,0.986717
10375,0.802286
10376,0.000898
10377,0.002544
10378,0.014616
10379,0.964144
1038,0.860145
10380,0.981314
10381,0.058775
10382,0.349841
10383,0.017683
10384,0.998620
10385,0.981002
10386,0.389843
10387,0.987987
10388,0.001137
10389,0.001195
1039,0.000411
10390,0.998817
10391,0.391312
10392,0.025197
10393,0.002713
10394,0.005130
10395,0.982483
10396,0.980198
10397,0.003643
10398,0.270119
10399,0.997433
104,0.002393
1040,0.996577
10400,0.999677
10401,0.756521
10402,0.033570
10403,0.999957
10404,0.021583
10405,0.001873
10406,0.995859
10407,0.000736
10408,0.019240
10409,0.997019
1041,0.374367
10410,0.000878
10411,0.009970
10412,0.085246
10413,0.005571
10414,0.985325
10415,0.998912
10416,0.000254
10417,0.060376
10418,0.002111
10419,0.999989
1042,0.983473
10420,0.996681
10421,0.991205
10422,0.784508
10423,0.000689
10424,0.055092
10425,0.970896
10426,0.117346
10427,0.994558
10428,0.908217
10429,0.995185
1043,0.051651
10430,0.003593
10431,0.010804
10432,0.998351
10433,0.646781
10434,0.689137
10435,0.013252
10436,0.997082
10437,0.019609
10438,0.940447
10439,0.852985
1044,0.539421
10440,0.002908
10441,0.000648
10442,0.999411
10443,0.890518
10444,0.985264
10445,0.989903
10446,0.987462
10447,0.993832
10448,0.984497
10449,0.999988
1045,0.610386
10450,0.002722
10451,0.001167
10452,0.727930
10453,0.736869
10454,0.058614
10455,0.089518
10456,0.931061
10457,0.011351
10458,0.993358
10459,0.178910
1046,0.014095
10460,0.355685
10461,0.159930
10462,0.986398
10463,0.008460
10464,0.954998
10465,0.955335
10466,0.999604
10467,0.001268
10468,0.002500
10469,0.503447
1047,0.156563
10470,0.050141
10471,0.009906
10472,0.001573
10473,0.999438
10474,0.980763
10475,0.004436
10476,0.972118
10477,0.009916
10478,0.967714
10479,0.984059
1048,0.830795
10480,0.041037
10481,0.013946
10482,0.001136
10483,0.060278
10484,0.983107
10485,0.996529
10486,0.029457
10487,0.965861
10488,0.984782
10489,0.057304
1049,0.001302
10490,0.980950
10491,0.003981
10492,0.957017
10493,0.243700
10494,0.997150
10495,0.017038
10496,0.999740
10497,0.896177
10498,0.001093
10499,0.968030
105,0.997600
1050,0.112778
10500,0.999804
10501,0.997550
10502,0.949402
10503,0.090431
10504,0.829438
10505,0.994207
10506,0.002268
10507,0.048003
10508,0.163952
10509,0.996278
1051,0.027919
10510,0.089027
10511,0.037194
10512,0.024859
10513,0.021754
10514,0.984864
10515,0.024872
10516,0.964797
10517,0.984053
10518,0.981182
10519,0.027505
1052,0.951902
10520,0.990010
10521,0.002048
10522,0.425033
10523,0.245114
10524,0.997084
10525,0.980901
10526,0.570803
10527,0.137319
10528,0.000197
10529,0.005575
1053,0.865503
10530,0.104262
10531,0.993441
10532,0.020008
10533,0.006846
10534,0.997755
10535,0.736560
10536,0.205277
10537,0.996062
10538,0.975682
10539,0.002061
1054,0.955212
10540,0.267883
10541,0.998407
10542,0.720253
10543,0.115297
10544,0.001433
10545,0.047725
10546,0.001389
10547,0.941269
10548,0.967879
10549,0.002130
1055,0.554628
10550,0.998330
10551,0.997739
10552,0.014973
10553,0.004290
10554,0.890964
10555,0.011167
10556,0.995116
10557,0.017167
10558,0.999712
10559,0.954038
1056,0.938923
10560,0.001556
10561,0.999058
10562,0.940652
10563,0.983361
10564,0.966941
10565,0.996555
10566,0.998119
10567,0.969104
10568,0.914665
10569,0.928780
1057,0.958639
10570,0.299458
10571,0.935590
10572,0.001197
10573,0.029845
10574,0.800035
10575,0.003521
10576,0.002600
10577,0.129125
10578,0.997353
10579,0.742066
1058,0.984343
10580,0.999362
10581,0.952598
10582,0.027825
10583,0.680072
10584,0.231442
10585,0.003656
10586,0.006968
10587,0.998703
10588,0.698580
10589,0.023981
1059,0.964660
10590,0.008257
10591,0.984791
10592,0.000133
10593,0.153782
10594,0.937286
10595,0.981242
10596,0.002885
10597,0.002627
10598,0.953043
10599,0.974375
106,0.958377
1060,0.063790
10600,0.998805
10601,0.109542
10602,0.947556
10603,0.000407
10604,0.000721
10605,0.613940
10606,0.968043
10607,0.005707
10608,0.906384
